inf_type,antigen,country,year,target_num,doses,coverage
PER,DTPCV1,GNB,"2021",65584,52824,80.54
PER,DTPCV1,GUY,"2021",14681,14448,98.41
PER,DTPCV1,HTI,"2021",266279,240067,90.16
PER,DTPCV1,HND,"2021",198670,163387,82.24
PER,DTPCV1,HUN,"2021",91279,91248,99.97
PER,DTPCV1,ISL,"2021",4609,4455,96.66
PER,DTPCV1,IND,"2021",26131090,22869086,87.52
PER,DTPCV1,IDN,"2021",4367228,3752782,85.93
PER,DTPCV1,IRN,"2021",1088489,1069208,98.23
PER,DTPCV1,IRQ,"2021",1079234,958858,88.85
PER,DTPCV1,IRL,"2021",0,0,0
PER,DTPCV1,ISR,"2021",135648,134867,99.42
PER,DTPCV1,ITA,"2021",0,0,0
PER,DTPCV1,JAM,"2021",32925,30586,92.9
PER,DTPCV1,JPN,"2021",905750,881417,97.31
PER,DTPCV1,KAZ,"2021",330386,325397,98.49
PER,DTPCV1,KEN,"2021",1517680,1407034,92.71
PER,DTPCV1,KIR,"2021",3311,3330,100.57
PER,DTPCV1,XKX,"2021",23468,21590,92
PER,DTPCV1,KWT,"2021",47875,48592,99
PER,DTPCV1,KGZ,"2021",151927,132735,87.37
PER,DTPCV1,LAO,"2021",151295,141717,93.67
PER,DTPCV1,LVA,"2021",17253,16551,95.93
PER,DTPCV1,LBN,"2021",120972,105487,87.2
PER,DTPCV1,LSO,"2021",32351,32924,101.77
PER,DTPCV1,LBR,"2021",182201,162956,89.44
PER,DTPCV1,LBY,"2021",236737,231823,97.92
PER,DTPCV1,LTU,"2021",23773,22095,92.94
PER,DTPCV1,LUX,"2021",0,0,0
PER,DTPCV1,MDG,"2021",936952,824414,87.99
PER,DTPCV1,MWI,"2021",715540,681833,95
PER,DTPCV1,MYS,"2021",470195,436135,92.76
PER,DTPCV1,MDV,"2021",6087,5914,97.16
PER,DTPCV1,MLI,"2021",852391,943917,110.74
PER,DTPCV1,MLT,"2021",4737,4699,99.2
PER,DTPCV1,MHL,"2021",942,611,64.86
PER,DTPCV1,MRT,"2021",152371,132836,87.18
