inf_type,country,year,cases
PER,LVA,"2023",111
PER,LBN,"2023",101
PER,LSO,"2023",0
PER,LBR,"2023",0
PER,LBY,"2023",771
PER,LTU,"2023",7
PER,LUX,"2023",18
PER,MDG,"2023",123
PER,MWI,"2023",0
PER,MYS,"2023",1203
PER,MDV,"2023",0
PER,MLI,"2023",0
PER,MLT,"2023",3
PER,MHL,"2023",0
PER,MRT,"2023",0
PER,MUS,"2023",0
PER,MEX,"2023",188
PER,FSM,"2023",0
PER,MCO,"2023",0
PER,MNG,"2023",0
PER,MNE,"2023",419
PER,MAR,"2023",0
PER,MOZ,"2023",0
PER,MMR,"2023",50
PER,NAM,"2023",2
PER,NRU,"2023",0
PER,NPL,"2023",4206
PER,NLD,"2023",2827
PER,NCL,"2023",0
PER,NZL,"2023",0
PER,NIC,"2023",0
PER,NER,"2023",1190
PER,NGA,"2023",0
PER,MKD,"2023",4
PER,MNP,"2023",0
PER,NOR,"2023",1201
PER,PSE,"2023",65
PER,OMN,"2023",142
PER,PAK,"2023",146
PER,PLW,"2023",0
PER,PAN,"2023",7
PER,PNG,"2023",1840
PER,PRY,"2023",6
PER,PER,"2023",132
PER,PHL,"2023",221
PER,POL,"2023",922
PER,PRT,"2023",31
PER,QAT,"2023",38
PER,KOR,"2023",292
PER,MDA,"2023",421
PER,ROU,"2023",16
PER,RUS,"2023",52783
PER,RWA,"2023",0
PER,KNA,"2023",0
PER,LCA,"2023",0
PER,VCT,"2023",0
PER,WSM,"2023",0
PER,SMR,"2023",1
PER,STP,"2023",0
PER,SAU,"2023",100
PER,SEN,"2023",0
PER,SRB,"2023",1421
PER,SYC,"2023",0
PER,SLE,"2023",0
PER,SGP,"2023",0
PER,SXM,"2023",0
PER,SVK,"2023",223
PER,SVN,"2023",126
PER,SLB,"2023",0
PER,SOM,"2023",0
PER,ZAF,"2023",268
PER,SSD,"2023",52
PER,ESP,"2023",2560
PER,LKA,"2023",3
PER,SDN,"2023",113
PER,SUR,"2023",0
PER,SWE,"2023",138
PER,CHE,"2023",0
PER,SYR,"2023",121
PER,TJK,"2023",595
PER,THA,"2023",737
PER,TLS,"2023",0
PER,TGO,"2023",209
PER,TON,"2023",0
PER,TTO,"2023",0
PER,TUN,"2023",148
PER,TKM,"2023",0
PER,TCA,"2023",0
PER,TUV,"2023",0
PER,TUR,"2023",512
PER,UGA,"2023",0
PER,UKR,"2023",707
PER,ARE,"2023",91
PER,GBR,"2023",942
PER,TZA,"2023",0
PER,USA,"2023",3044
PER,URY,"2023",24
PER,UZB,"2023",171
PER,VUT,"2023",1
PER,VEN,"2023",0
PER,VNM,"2023",40
PER,YEM,"2023",2
PER,ZMB,"2023",0
PER,ZWE,"2023",15
PER,AFG,"2022",331
PER,ALB,"2022",0
PER,DZA,"2022",0
PER,ASM,"2022",0
PER,AND,"2022",0
PER,AGO,"2022",0
PER,ATG,"2022",0
PER,ARG,"2022",196
PER,ARM,"2022",1
PER,ABW,"2022",0
PER,AUS,"2022",479
PER,AUT,"2022",164
PER,AZE,"2022",0
PER,BHS,"2022",1
PER,BHR,"2022",0
PER,BGD,"2022",0
PER,BRB,"2022",0
PER,BLR,"2022",28
PER,BEL,"2022",80
PER,BLZ,"2022",0
PER,BEN,"2022",0
PER,BMU,"2022",1
PER,BTN,"2022",0
PER,BOL,"2022",223
PER,BIH,"2022",0
PER,BWA,"2022",0
PER,BRA,"2022",246
PER,VGB,"2022",0
PER,BRN,"2022",0
PER,BGR,"2022",17
PER,BFA,"2022",5
PER,BDI,"2022",0
PER,CPV,"2022",0
PER,KHM,"2022",1
PER,CMR,"2022",0
PER,CAN,"2022",208
PER,CYM,"2022",0
PER,CAF,"2022",15
PER,TCD,"2022",0
PER,CHL,"2022",0
PER,CHN,"2022",38295
PER,HKG,"2022",3
PER,COL,"2022",111
PER,COM,"2022",0
PER,COG,"2022",0
PER,CRI,"2022",5
PER,HRV,"2022",2
PER,CUB,"2022",0
PER,CUW,"2022",0
PER,CYP,"2022",0
PER,CZE,"2022",94
PER,CIV,"2022",0
PER,PRK,"2022",0
PER,COD,"2022",2752
PER,DNK,"2022",52
PER,DJI,"2022",0
PER,DMA,"2022",0
PER,DOM,"2022",5
PER,ECU,"2022",57
PER,EGY,"2022",0
PER,SLV,"2022",0
PER,GNQ,"2022",0
PER,ERI,"2022",0
PER,EST,"2022",8
PER,SWZ,"2022",0
PER,ETH,"2022",6
PER,FJI,"2022",0
PER,FIN,"2022",35
PER,FRA,"2022",45
PER,PYF,"2022",0
PER,GAB,"2022",0
PER,GMB,"2022",0
PER,GEO,"2022",40
PER,DEU,"2022",1190
PER,GHA,"2022",0
PER,GRC,"2022",1
PER,GRD,"2022",0
PER,GUM,"2022",0
PER,GTM,"2022",0
PER,GIN,"2022",7
PER,GNB,"2022",0
PER,GUY,"2022",0
PER,HTI,"2022",0
PER,HND,"2022",0
PER,HUN,"2022",2
PER,ISL,"2022",0
PER,IND,"2022",4362
PER,IDN,"2022",414
PER,IRN,"2022",59
PER,IRQ,"2022",79
PER,IRL,"2022",7
PER,ISR,"2022",37
PER,ITA,"2022",62
PER,JAM,"2022",0
PER,JPN,"2022",0
PER,JOR,"2022",5
PER,KAZ,"2022",3
PER,KEN,"2022",0
PER,KIR,"2022",0
PER,XKX,"2022",0
PER,KWT,"2022",14
PER,KGZ,"2022",66
PER,LAO,"2022",0
PER,LVA,"2022",46
PER,LBN,"2022",0
PER,LSO,"2022",0
PER,LBR,"2022",0
PER,LBY,"2022",422
PER,LTU,"2022",2
PER,LUX,"2022",3
PER,MDG,"2022",377
PER,MWI,"2022",0
PER,MYS,"2022",101
PER,MDV,"2022",0
PER,MLI,"2022",0
PER,MLT,"2022",0
PER,MHL,"2022",0
PER,MRT,"2022",0
PER,MUS,"2022",0
PER,MEX,"2022",69
PER,FSM,"2022",18
PER,MCO,"2022",0
PER,MNG,"2022",0
PER,MNE,"2022",0
PER,MAR,"2022",0
PER,MOZ,"2022",0
PER,MMR,"2022",0
PER,NAM,"2022",7
PER,NRU,"2022",0
PER,NPL,"2022",4828
PER,NLD,"2022",129
PER,NCL,"2022",0
PER,NZL,"2022",18
PER,NIC,"2022",0
PER,NER,"2022",670
PER,NGA,"2022",0
PER,MKD,"2022",0
PER,MNP,"2022",0
PER,NOR,"2022",44
PER,PSE,"2022",25
PER,OMN,"2022",5
PER,PAK,"2022",168
PER,PLW,"2022",0
PER,PAN,"2022",1
PER,PNG,"2022",8
PER,PRY,"2022",4
PER,PER,"2022",4
PER,PHL,"2022",4
PER,POL,"2022",371
PER,PRT,"2022",8
PER,QAT,"2022",1
PER,KOR,"2022",31
PER,MDA,"2022",6
PER,ROU,"2022",9
PER,RUS,"2022",3186
PER,RWA,"2022",0
PER,KNA,"2022",0
PER,LCA,"2022",0
PER,VCT,"2022",0
PER,WSM,"2022",0
PER,SMR,"2022",0
PER,STP,"2022",0
PER,SAU,"2022",17
PER,SEN,"2022",0
PER,SRB,"2022",5
PER,SYC,"2022",0
PER,SLE,"2022",0
PER,SGP,"2022",0
PER,SXM,"2022",0
PER,SVK,"2022",127
PER,SVN,"2022",51
PER,SLB,"2022",2
PER,SOM,"2022",0
PER,ZAF,"2022",789
PER,SSD,"2022",0
PER,ESP,"2022",215
PER,LKA,"2022",0
PER,SDN,"2022",0
PER,SUR,"2022",33
PER,SWE,"2022",13
PER,CHE,"2022",0
PER,SYR,"2022",343
PER,TJK,"2022",74
PER,THA,"2022",10
PER,TLS,"2022",0
PER,TGO,"2022",0
PER,TON,"2022",0
PER,TTO,"2022",0
PER,TUN,"2022",5
PER,TKM,"2022",0
PER,TCA,"2022",0
PER,TUV,"2022",0
PER,TUR,"2022",8
PER,UGA,"2022",0
PER,UKR,"2022",32
PER,ARE,"2022",0
PER,GBR,"2022",79
PER,TZA,"2022",0
PER,USA,"2022",2115
PER,URY,"2022",6
PER,UZB,"2022",3
PER,VUT,"2022",1
PER,VEN,"2022",0
PER,VNM,"2022",20
PER,YEM,"2022",0
PER,ZMB,"2022",0
PER,ZWE,"2022",15
PER,AFG,"2021",108
PER,ALB,"2021",0
PER,DZA,"2021",0
PER,ASM,"2021",0
PER,AND,"2021",0
PER,AGO,"2021",0
PER,ATG,"2021",0
PER,ARG,"2021",174
PER,ARM,"2021",6
PER,ABW,"2021",0
PER,AUS,"2021",550
PER,AUT,"2021",129
PER,AZE,"2021",0
PER,BHS,"2021",0
PER,BHR,"2021",0
PER,BGD,"2021",0
PER,BRB,"2021",0
PER,BLR,"2021",13
PER,BEL,"2021",16
PER,BLZ,"2021",0
PER,BEN,"2021",0
PER,BMU,"2021",0
PER,BTN,"2021",0
PER,BOL,"2021",0
PER,BIH,"2021",2
PER,BWA,"2021",0
PER,BRA,"2021",143
PER,VGB,"2021",0
PER,BRN,"2021",0
PER,BGR,"2021",3
PER,BFA,"2021",177
PER,BDI,"2021",0
PER,CPV,"2021",0
PER,KHM,"2021",0
PER,CMR,"2021",0
PER,CAN,"2021",32
PER,CYM,"2021",0
PER,CAF,"2021",410
PER,TCD,"2021",0
PER,CHL,"2021",29
PER,CHN,"2021",9611
PER,HKG,"2021",2
PER,COL,"2021",75
PER,COM,"2021",0
PER,COG,"2021",8
PER,CRI,"2021",2
PER,HRV,"2021",7
PER,CUB,"2021",0
PER,CUW,"2021",0
PER,CYP,"2021",2
PER,CZE,"2021",51
PER,CIV,"2021",10
PER,PRK,"2021",0
PER,COD,"2021",1494
PER,DNK,"2021",80
PER,DJI,"2021",0
PER,DMA,"2021",0
PER,DOM,"2021",8
PER,ECU,"2021",0
PER,EGY,"2021",0
PER,SLV,"2021",1
PER,GNQ,"2021",0
PER,ERI,"2021",0
PER,EST,"2021",13
PER,SWZ,"2021",0
PER,ETH,"2021",0
PER,FJI,"2021",0
PER,FIN,"2021",33
PER,FRA,"2021",0
PER,PYF,"2021",0
PER,GAB,"2021",0
PER,GMB,"2021",0
PER,GEO,"2021",19
PER,DEU,"2021",774
PER,GHA,"2021",48
PER,GRC,"2021",0
PER,GRD,"2021",0
PER,GUM,"2021",0
PER,GTM,"2021",0
PER,GIN,"2021",0
PER,GNB,"2021",0
PER,GUY,"2021",0
PER,HTI,"2021",0
PER,HND,"2021",8
PER,HUN,"2021",0
PER,ISL,"2021",0
PER,IND,"2021",593
PER,IDN,"2021",0
PER,IRN,"2021",6
PER,IRQ,"2021",28
PER,IRL,"2021",5
PER,ISR,"2021",34
PER,ITA,"2021",5
PER,JAM,"2021",0
PER,JPN,"2021",752
PER,JOR,"2021",0
PER,KAZ,"2021",1
PER,KEN,"2021",29
PER,KIR,"2021",0
PER,XKX,"2021",0
PER,KWT,"2021",6
PER,KGZ,"2021",6
PER,LAO,"2021",0
PER,LVA,"2021",9
PER,LBN,"2021",0
PER,LSO,"2021",0
PER,LBR,"2021",0
PER,LBY,"2021",0
PER,LTU,"2021",0
PER,LUX,"2021",1
PER,MDG,"2021",114
PER,MWI,"2021",0
PER,MYS,"2021",11
PER,MDV,"2021",0
PER,MLI,"2021",14
PER,MLT,"2021",0
PER,MHL,"2021",0
PER,MRT,"2021",0
PER,MUS,"2021",0
PER,MEX,"2021",22
PER,FSM,"2021",0
PER,MCO,"2021",0
PER,MNG,"2021",0
PER,MNE,"2021",1
PER,MAR,"2021",0
PER,MOZ,"2021",0
PER,MMR,"2021",0
PER,NAM,"2021",6
PER,NRU,"2021",0
PER,NPL,"2021",0
PER,NLD,"2021",74
PER,NCL,"2021",0
PER,NZL,"2021",43
PER,NIC,"2021",0
PER,NER,"2021",0
PER,NGA,"2021",0
PER,MKD,"2021",0
PER,MNP,"2021",0
PER,NOR,"2021",39
PER,PSE,"2021",277
PER,OMN,"2021",4
PER,PAK,"2021",53
PER,PLW,"2021",0
PER,PAN,"2021",5
PER,PNG,"2021",10
PER,PRY,"2021",5
PER,PER,"2021",35
PER,PHL,"2021",20
PER,POL,"2021",180
PER,PRT,"2021",3
PER,QAT,"2021",0
PER,KOR,"2021",21
PER,MDA,"2021",5
PER,ROU,"2021",1
PER,RUS,"2021",1108
PER,RWA,"2021",0
PER,KNA,"2021",0
PER,LCA,"2021",0
PER,VCT,"2021",0
PER,WSM,"2021",0
PER,SMR,"2021",0
PER,STP,"2021",0
PER,SAU,"2021",43
PER,SEN,"2021",0
PER,SRB,"2021",5
PER,SYC,"2021",0
PER,SLE,"2021",0
PER,SGP,"2021",0
PER,SXM,"2021",0
PER,SVK,"2021",87
PER,SVN,"2021",6
PER,SLB,"2021",78
PER,SOM,"2021",0
PER,ZAF,"2021",557
PER,SSD,"2021",77
PER,ESP,"2021",57
PER,LKA,"2021",0
PER,SDN,"2021",0
PER,SUR,"2021",0
PER,SWE,"2021",11
PER,CHE,"2021",0
PER,SYR,"2021",197
PER,TJK,"2021",0
PER,THA,"2021",0
PER,TLS,"2021",0
PER,TGO,"2021",0
PER,TON,"2021",0
PER,TTO,"2021",0
PER,TUN,"2021",2
PER,TKM,"2021",0
PER,TCA,"2021",0
PER,TUV,"2021",0
PER,TUR,"2021",6
PER,UGA,"2021",382
PER,UKR,"2021",91
PER,ARE,"2021",40
PER,GBR,"2021",54
PER,TZA,"2021",0
PER,USA,"2021",6126
PER,URY,"2021",44
PER,UZB,"2021",2
PER,VUT,"2021",0
PER,VEN,"2021",0
PER,VNM,"2021",44
PER,YEM,"2021",5208
PER,ZMB,"2021",0
PER,ZWE,"2021",0
PER,AFG,"2020",0
PER,ALB,"2020",3
PER,DZA,"2020",0
PER,ASM,"2020",0
PER,AND,"2020",0
PER,AGO,"2020",0
PER,ATG,"2020",0
PER,ARG,"2020",162
PER,ARM,"2020",12
PER,ABW,"2020",0
PER,AUS,"2020",3457
PER,AUT,"2020",655
PER,AZE,"2020",0
PER,BHS,"2020",0
PER,BHR,"2020",0
PER,BGD,"2020",1
PER,BRB,"2020",0
PER,BLR,"2020",449
PER,BEL,"2020",124
PER,BLZ,"2020",0
PER,BEN,"2020",0
PER,BMU,"2020",8
PER,BTN,"2020",0
PER,BOL,"2020",12
PER,BIH,"2020",0
PER,BWA,"2020",0
PER,BRA,"2020",229
PER,VGB,"2020",0
PER,BRN,"2020",0
PER,BGR,"2020",27
PER,BFA,"2020",0
PER,BDI,"2020",0
PER,CPV,"2020",0
PER,KHM,"2020",7
PER,CMR,"2020",0
PER,CAN,"2020",955
PER,CYM,"2020",0
PER,CAF,"2020",656
PER,TCD,"2020",0
PER,CHL,"2020",62
PER,CHN,"2020",4475
PER,HKG,"2020",22
PER,COL,"2020",68
PER,COM,"2020",0
PER,COG,"2020",34
PER,CRI,"2020",10
PER,HRV,"2020",10
PER,CUB,"2020",0
PER,CUW,"2020",0
PER,CYP,"2020",8
PER,CZE,"2020",696
PER,CIV,"2020",0
PER,PRK,"2020",0
PER,COD,"2020",1027
PER,DNK,"2020",2390
PER,DJI,"2020",0
PER,DMA,"2020",0
PER,DOM,"2020",8
PER,ECU,"2020",8
PER,EGY,"2020",0
PER,SLV,"2020",0
PER,GNQ,"2020",0
PER,ERI,"2020",0
PER,EST,"2020",44
PER,SWZ,"2020",0
PER,ETH,"2020",0
PER,FJI,"2020",0
PER,FIN,"2020",290
PER,FRA,"2020",16
PER,PYF,"2020",3
PER,GAB,"2020",0
PER,GMB,"2020",0
PER,GEO,"2020",87
PER,DEU,"2020",3462
PER,GHA,"2020",57
PER,GRC,"2020",8
PER,GRD,"2020",0
PER,GUM,"2020",0
PER,GTM,"2020",13
PER,GIN,"2020",0
PER,GNB,"2020",0
PER,GUY,"2020",0
PER,HTI,"2020",0
PER,HND,"2020",11
PER,HUN,"2020",13
PER,ISL,"2020",3
PER,IND,"2020",12566
PER,IDN,"2020",36
PER,IRN,"2020",41
PER,IRQ,"2020",80
PER,IRL,"2020",66
PER,ISR,"2020",517
PER,ITA,"2020",198
PER,JAM,"2020",0
PER,JPN,"2020",2947
PER,JOR,"2020",2
PER,KAZ,"2020",54
PER,KEN,"2020",0
PER,KIR,"2020",0
PER,XKX,"2020",0
PER,KWT,"2020",0
PER,KGZ,"2020",0
PER,LAO,"2020",0
PER,LVA,"2020",341
PER,LBN,"2020",0
PER,LSO,"2020",0
PER,LBR,"2020",0
PER,LBY,"2020",0
PER,LTU,"2020",68
PER,LUX,"2020",5
PER,MDG,"2020",0
PER,MWI,"2020",0
PER,MYS,"2020",136
PER,MDV,"2020",0
PER,MLI,"2020",0
PER,MLT,"2020",9
PER,MHL,"2020",0
PER,MRT,"2020",0
PER,MUS,"2020",0
PER,MEX,"2020",251
PER,FSM,"2020",0
PER,MCO,"2020",0
PER,MNG,"2020",0
PER,MNE,"2020",3
PER,MAR,"2020",0
PER,MOZ,"2020",0
PER,MMR,"2020",13
PER,NAM,"2020",0
PER,NRU,"2020",0
PER,NPL,"2020",0
PER,NLD,"2020",943
PER,NCL,"2020",0
PER,NZL,"2020",171
PER,NIC,"2020",0
PER,NER,"2020",385
PER,NGA,"2020",0
PER,MKD,"2020",2
PER,MNP,"2020",0
PER,NOR,"2020",812
PER,PSE,"2020",18
PER,OMN,"2020",86
PER,PAK,"2020",29
PER,PLW,"2020",0
PER,PAN,"2020",1
PER,PNG,"2020",51
PER,PRY,"2020",15
PER,PER,"2020",47
PER,PHL,"2020",35
PER,POL,"2020",746
PER,PRT,"2020",33
PER,QAT,"2020",0
PER,KOR,"2020",126
PER,MDA,"2020",60
PER,ROU,"2020",18
PER,RUS,"2020",6069
PER,RWA,"2020",0
PER,KNA,"2020",0
PER,LCA,"2020",0
PER,VCT,"2020",0
PER,WSM,"2020",0
PER,SMR,"2020",0
PER,STP,"2020",0
PER,SAU,"2020",95
PER,SEN,"2020",0
PER,SRB,"2020",62
PER,SYC,"2020",0
PER,SLE,"2020",0
PER,SGP,"2020",0
PER,SXM,"2020",0
PER,SVK,"2020",706
PER,SVN,"2020",42
PER,SLB,"2020",0
PER,SOM,"2020",0
PER,ZAF,"2020",104
PER,SSD,"2020",0
PER,ESP,"2020",242
PER,LKA,"2020",1
PER,SDN,"2020",73
PER,SUR,"2020",4
PER,SWE,"2020",269
PER,CHE,"2020",0
PER,SYR,"2020",224
PER,TJK,"2020",13
PER,THA,"2020",90
